<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
СОЛЛЕРС;W;01/07/13;000000;743,4;42980
СОЛЛЕРС;W;08/07/13;000000;728,9;13290
СОЛЛЕРС;W;15/07/13;000000;701,5;25830
СОЛЛЕРС;W;22/07/13;000000;707;37380
СОЛЛЕРС;W;29/07/13;000000;707;23670
СОЛЛЕРС;W;05/08/13;000000;714,9;5920
СОЛЛЕРС;W;12/08/13;000000;709,5;23930
СОЛЛЕРС;W;19/08/13;000000;687,9;69560
СОЛЛЕРС;W;26/08/13;000000;620,1;31580
СОЛЛЕРС;W;02/09/13;000000;661,1;22540
СОЛЛЕРС;W;09/09/13;000000;697,7;25860
СОЛЛЕРС;W;16/09/13;000000;697,9;39290
СОЛЛЕРС;W;23/09/13;000000;695,1;28850
СОЛЛЕРС;W;30/09/13;000000;700;26190
СОЛЛЕРС;W;07/10/13;000000;735,6;33930
СОЛЛЕРС;W;14/10/13;000000;774,5;52980
СОЛЛЕРС;W;21/10/13;000000;788,6;42420
СОЛЛЕРС;W;28/10/13;000000;765,1;24530
СОЛЛЕРС;W;04/11/13;000000;730,6;16710
СОЛЛЕРС;W;11/11/13;000000;752;33970
СОЛЛЕРС;W;18/11/13;000000;781,4;21590
СОЛЛЕРС;W;25/11/13;000000;791,1;62000
СОЛЛЕРС;W;02/12/13;000000;764;45470
СОЛЛЕРС;W;09/12/13;000000;806,4;54420
СОЛЛЕРС;W;16/12/13;000000;855;67960
СОЛЛЕРС;W;23/12/13;000000;840;31470
СОЛЛЕРС;W;30/12/13;000000;860,4;3550
СОЛЛЕРС;W;06/01/14;000000;810,2;14010
СОЛЛЕРС;W;13/01/14;000000;773,4;33670
СОЛЛЕРС;W;20/01/14;000000;750;20940
СОЛЛЕРС;W;27/01/14;000000;705,6;54070
СОЛЛЕРС;W;03/02/14;000000;734,6;22430
СОЛЛЕРС;W;10/02/14;000000;725,1;20590
СОЛЛЕРС;W;17/02/14;000000;701;41910
СОЛЛЕРС;W;24/02/14;000000;661,1;25300
СОЛЛЕРС;W;03/03/14;000000;562;77190
СОЛЛЕРС;W;10/03/14;000000;463,9;26420
СОЛЛЕРС;W;17/03/14;000000;482,1;228560
СОЛЛЕРС;W;24/03/14;000000;497,5;122180
СОЛЛЕРС;W;31/03/14;000000;549,1;239930
СОЛЛЕРС;W;07/04/14;000000;539,9;104500
СОЛЛЕРС;W;14/04/14;000000;540,3;105010
СОЛЛЕРС;W;21/04/14;000000;523,4;36130
СОЛЛЕРС;W;28/04/14;000000;519,8;35150
СОЛЛЕРС;W;05/05/14;000000;574,5;108290
СОЛЛЕРС;W;12/05/14;000000;565;78930
СОЛЛЕРС;W;19/05/14;000000;587;45360
СОЛЛЕРС;W;26/05/14;000000;572,4;130640
СОЛЛЕРС;W;02/06/14;000000;647;243460
СОЛЛЕРС;W;09/06/14;000000;584;133930
СОЛЛЕРС;W;16/06/14;000000;571;73130
СОЛЛЕРС;W;23/06/14;000000;595;69080
СОЛЛЕРС;W;30/06/14;000000;597;53710
СОЛЛЕРС;W;07/07/14;000000;600;48900
СОЛЛЕРС;W;14/07/14;000000;597;32090
СОЛЛЕРС;W;21/07/14;000000;536;56320
СОЛЛЕРС;W;28/07/14;000000;535;83810
СОЛЛЕРС;W;04/08/14;000000;511;26690
СОЛЛЕРС;W;11/08/14;000000;529,5;70230
СОЛЛЕРС;W;18/08/14;000000;562,9;50830
СОЛЛЕРС;W;25/08/14;000000;530;57250
СОЛЛЕРС;W;01/09/14;000000;533,6;64410
СОЛЛЕРС;W;08/09/14;000000;495,5;168850
СОЛЛЕРС;W;15/09/14;000000;452;187380
СОЛЛЕРС;W;22/09/14;000000;487;89780
СОЛЛЕРС;W;29/09/14;000000;443;73840
СОЛЛЕРС;W;06/10/14;000000;445;38450
СОЛЛЕРС;W;13/10/14;000000;414;44670
СОЛЛЕРС;W;20/10/14;000000;402;21780
СОЛЛЕРС;W;27/10/14;000000;413;85960
СОЛЛЕРС;W;03/11/14;000000;440;53430
СОЛЛЕРС;W;10/11/14;000000;450;62340
СОЛЛЕРС;W;17/11/14;000000;421;83550
СОЛЛЕРС;W;24/11/14;000000;412;80300
СОЛЛЕРС;W;01/12/14;000000;427;104150
СОЛЛЕРС;W;08/12/14;000000;405;47220
СОЛЛЕРС;W;15/12/14;000000;332;135640
СОЛЛЕРС;W;22/12/14;000000;352;110570
СОЛЛЕРС;W;29/12/14;000000;350;9000
СОЛЛЕРС;W;05/01/15;000000;356;11780
СОЛЛЕРС;W;12/01/15;000000;322;153800
СОЛЛЕРС;W;19/01/15;000000;320;181800
СОЛЛЕРС;W;26/01/15;000000;300;144110
СОЛЛЕРС;W;02/02/15;000000;321;154820
СОЛЛЕРС;W;09/02/15;000000;347;206150
СОЛЛЕРС;W;16/02/15;000000;379;215660
СОЛЛЕРС;W;23/02/15;000000;375;168970
СОЛЛЕРС;W;02/03/15;000000;368;60250
СОЛЛЕРС;W;09/03/15;000000;368;163260
СОЛЛЕРС;W;16/03/15;000000;369;94290
СОЛЛЕРС;W;23/03/15;000000;367;45800
СОЛЛЕРС;W;30/03/15;000000;373;76660
СОЛЛЕРС;W;06/04/15;000000;387;154390
