;accommodates;bathrooms;bedrooms;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;minimum_nights;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed;host_has_profile_pic_f;host_has_profile_pic_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;bed_type_Airbed;bed_type_Couch;bed_type_Futon;bed_type_Pull-out Sofa;bed_type_Real Bed;instant_bookable_f;instant_bookable_t;is_business_travel_ready_f;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict_14_with_grace_period;cancellation_policy_super_strict_30;cancellation_policy_super_strict_60
109658;2;1.0;1.0;25.0;0.0;0.0;2;4.026832686482081;59.56233713930428;3;True;False;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
111579;2;1.0;1.0;30.0;0.0;15.0;1;2.7398799222037358;40.0;4;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0
114763;6;1.0;3.0;50.0;0.0;0.0;1;3.8161976594346374;150.0;3;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
115576;4;1.0;2.0;45.0;0.0;15.0;2;8.764210301198911;75.71649450162055;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
116832;2;1.0;2.0;20.0;250.0;0.0;1;1.4222145549891996;66.15689891675878;14;False;False;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
117649;4;1.0;1.0;25.0;0.0;20.0;2;2.622514277477249;36.0;60;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
121888;4;1.0;1.0;40.0;0.0;10.0;2;4.396140721009552;21.0;7;False;True;False;False;True;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
125349;4;1.0;1.0;25.0;0.0;0.0;1;16.67604571748248;30.0;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
127708;2;1.0;1.0;40.0;0.0;15.0;2;1.9319629511408583;35.0;2;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
128827;3;1.0;1.0;30.0;0.0;20.0;2;3.930988243568319;15.0;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
135097;6;1.0;3.0;88.0;0.0;9.0;3;3.8807107529306366;80.0;1;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
